(schema,table,column,data_type,format,nullable,updatable,default_value,is_primary_key,comment,row_count,rls_enabled,foreign_keys)
auth,users,instance_id,uuid,uuid,YES,YES,NULL,FALSE,,3,TRUE,
auth,users,id,uuid,uuid,NO,YES,NULL,TRUE,,3,TRUE,
auth,users,aud,character varying,varchar,YES,YES,NULL,FALSE,,3,TRUE,
auth,users,role,character varying,varchar,YES,YES,NULL,FALSE,,3,TRUE,
auth,users,email,character varying,varchar,YES,YES,NULL,FALSE,,3,TRUE,
auth,users,encrypted_password,character varying,varchar,YES,YES,NULL,FALSE,,3,TRUE,
auth,users,email_confirmed_at,timestamp with time zone,timestamptz,YES,YES,NULL,FALSE,,3,TRUE,
auth,users,invited_at,timestamp with time zone,timestamptz,YES,YES,NULL,FALSE,,3,TRUE,
auth,users,confirmation_token,character varying,varchar,YES,YES,NULL,FALSE,,3,TRUE,
auth,users,confirmation_sent_at,timestamp with time zone,timestamptz,YES,YES,NULL,FALSE,,3,TRUE,
auth,users,recovery_token,character varying,varchar,YES,YES,NULL,FALSE,,3,TRUE,
auth,users,recovery_sent_at,timestamp with time zone,timestamptz,YES,YES,NULL,FALSE,,3,TRUE,
auth,users,email_change_token_new,character varying,varchar,YES,YES,NULL,FALSE,,3,TRUE,
auth,users,email_change,character varying,varchar,YES,YES,NULL,FALSE,,3,TRUE,
auth,users,email_change_sent_at,timestamp with time zone,timestamptz,YES,YES,NULL,FALSE,,3,TRUE,
auth,users,last_sign_in_at,timestamp with time zone,timestamptz,YES,YES,NULL,FALSE,,3,TRUE,
auth,users,raw_app_meta_data,jsonb,jsonb,YES,YES,NULL,FALSE,,3,TRUE,
auth,users,raw_user_meta_data,jsonb,jsonb,YES,YES,NULL,FALSE,,3,TRUE,
auth,users,is_super_admin,boolean,bool,YES,YES,NULL,FALSE,,3,TRUE,
auth,users,created_at,timestamp with time zone,timestamptz,YES,YES,NULL,FALSE,,3,TRUE,
auth,users,updated_at,timestamp with time zone,timestamptz,YES,YES,NULL,FALSE,,3,TRUE,
auth,users,phone,text,text,YES,YES,'NULL::character varying',FALSE,,3,TRUE,
auth,users,phone_confirmed_at,timestamp with time zone,timestamptz,YES,YES,NULL,FALSE,,3,TRUE,
auth,users,phone_change,text,text,YES,YES,''::character varying,FALSE,,3,TRUE,
auth,users,phone_change_token,character varying,varchar,YES,YES,''::character varying,FALSE,,3,TRUE,
auth,users,phone_change_sent_at,timestamp with time zone,timestamptz,YES,YES,NULL,FALSE,,3,TRUE,
auth,users,confirmed_at,timestamp with time zone,timestamptz,YES,YES,LEAST(email_confirmed_at, phone_confirmed_at),FALSE,,3,TRUE,
auth,users,email_change_token_current,character varying,varchar,YES,YES,''::character varying,FALSE,,3,TRUE,
auth,users,email_change_confirm_status,smallint,int2,YES,YES,0,FALSE,,3,TRUE,
auth,users,banned_until,timestamp with time zone,timestamptz,YES,YES,NULL,FALSE,,3,TRUE,
auth,users,reauthentication_token,character varying,varchar,YES,YES,''::character varying,FALSE,,3,TRUE,
auth,users,reauthentication_sent_at,timestamp with time zone,timestamptz,YES,YES,NULL,FALSE,,3,TRUE,
auth,users,is_sso_user,boolean,bool,NO,YES,false,FALSE,"Auth: Set this column to true when the account comes from SSO. These accounts can have duplicate emails.",3,TRUE,
auth,users,deleted_at,timestamp with time zone,timestamptz,YES,YES,NULL,FALSE,,3,TRUE,
auth,users,is_anonymous,boolean,bool,NO,YES,false,FALSE,,3,TRUE,
auth,refresh_tokens,instance_id,uuid,uuid,YES,YES,NULL,FALSE,,0,TRUE,
auth,refresh_tokens,id,bigint,int8,NO,YES,nextval('auth.refresh_tokens_id_seq'::regclass),TRUE,,0,TRUE,
auth,refresh_tokens,token,character varying,varchar,YES,YES,NULL,FALSE,,0,TRUE,
auth,refresh_tokens,user_id,character varying,varchar,YES,YES,NULL,FALSE,,0,TRUE,
auth,refresh_tokens,revoked,boolean,bool,YES,YES,NULL,FALSE,,0,TRUE,
auth,refresh_tokens,created_at,timestamp with time zone,timestamptz,YES,YES,NULL,FALSE,,0,TRUE,
auth,refresh_tokens,updated_at,timestamp with time zone,timestamptz,YES,YES,NULL,FALSE,,0,TRUE,
auth,refresh_tokens,parent,character varying,varchar,YES,YES,NULL,FALSE,,0,TRUE,
auth,refresh_tokens,session_id,uuid,uuid,YES,YES,NULL,FALSE,,0,TRUE,
auth,instances,id,uuid,uuid,NO,YES,NULL,TRUE,,0,TRUE,
auth,instances,uuid,uuid,uuid,YES,YES,NULL,FALSE,,0,TRUE,
auth,instances,raw_base_config,text,text,YES,YES,NULL,FALSE,,0,TRUE,
auth,instances,created_at,timestamp with time zone,timestamptz,YES,YES,NULL,FALSE,,0,TRUE,
auth,instances,updated_at,timestamp with time zone,timestamptz,YES,YES,NULL,FALSE,,0,TRUE,
auth,audit_log_entries,instance_id,uuid,uuid,YES,YES,NULL,FALSE,,8,TRUE,
auth,audit_log_entries,id,uuid,uuid,NO,YES,NULL,TRUE,,8,TRUE,
auth,audit_log_entries,payload,json,json,YES,YES,NULL,FALSE,,8,TRUE,
auth,audit_log_entries,created_at,timestamp with time zone,timestamptz,YES,YES,NULL,FALSE,,8,TRUE,
auth,audit_log_entries,ip_address,character varying,varchar,NO,YES,''::character varying,FALSE,,8,TRUE,
auth,schema_migrations,version,character varying,varchar,NO,YES,NULL,TRUE,,67,TRUE,
storage,buckets,id,text,text,NO,YES,NULL,TRUE,,3,TRUE,
storage,buckets,name,text,text,NO,YES,NULL,FALSE,,3,TRUE,
storage,buckets,owner,uuid,uuid,YES,YES,NULL,FALSE,"Field is deprecated, use owner_id instead",3,TRUE,
storage,buckets,created_at,timestamp with time zone,timestamptz,YES,YES,now(),FALSE,,3,TRUE,
storage,buckets,updated_at,timestamp with time zone,timestamptz,YES,YES,now(),FALSE,,3,TRUE,
storage,buckets,public,boolean,bool,YES,YES,false,FALSE,,3,TRUE,
storage,buckets,avif_autodetection,boolean,bool,YES,YES,false,FALSE,,3,TRUE,
storage,buckets,file_size_limit,bigint,int8,YES,YES,NULL,FALSE,,3,TRUE,
storage,buckets,allowed_mime_types,ARRAY,_text,YES,YES,NULL,FALSE,,3,TRUE,
storage,buckets,owner_id,text,text,YES,YES,NULL,FALSE,,3,TRUE,
storage,buckets,type,USER-DEFINED,buckettype,NO,YES,'STANDARD'::storage.buckettype,FALSE,,3,TRUE,
storage,objects,id,uuid,uuid,NO,YES,gen_random_uuid(),TRUE,,2,TRUE,
storage,objects,bucket_id,text,text,YES,YES,NULL,FALSE,,2,TRUE,
storage,objects,name,text,text,YES,YES,NULL,FALSE,,2,TRUE,
storage,objects,owner,uuid,uuid,YES,YES,NULL,FALSE,"Field is deprecated, use owner_id instead",2,TRUE,
storage,objects,created_at,timestamp with time zone,timestamptz,YES,YES,now(),FALSE,,2,TRUE,
storage,objects,updated_at,timestamp with time zone,timestamptz,YES,YES,now(),FALSE,,2,TRUE,
storage,objects,last_accessed_at,timestamp with time zone,timestamptz,YES,YES,now(),FALSE,,2,TRUE,
storage,objects,metadata,jsonb,jsonb,YES,YES,NULL,FALSE,,2,TRUE,
storage,objects,path_tokens,ARRAY,_text,YES,YES,string_to_array(name, '/'::text),FALSE,,2,TRUE,
storage,objects,version,text,text,YES,YES,NULL,FALSE,,2,TRUE,
storage,objects,owner_id,text,text,YES,YES,NULL,FALSE,,2,TRUE,
storage,objects,user_metadata,jsonb,jsonb,YES,YES,NULL,FALSE,,2,TRUE,
storage,objects,level,integer,int4,YES,YES,NULL,FALSE,,2,TRUE,
storage,migrations,id,integer,int4,NO,YES,NULL,TRUE,,44,TRUE,
storage,migrations,name,character varying,varchar,NO,YES,NULL,FALSE,,44,TRUE,
